"video_id","title","comment_text","author","published_at","comment_like_count","reply_count","comment_id","reply_text","parent_id","series"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,It’s pyororong,@chesed4902,"2020-10-27T12:56:27Z","1",0,UgzpZLS9mu-BpCXr4Od4AaABAg,"",UgzpZLS9mu-BpCXr4Od4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,부럽습니다^^,@user-in3vu2eh3s,"2020-10-27T12:56:29Z","0",0,Ugx-GBLudMOd6m2-XfN4AaABAg,"",Ugx-GBLudMOd6m2-XfN4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,아이폰이 이겼네,@anthony_kim_k,"2020-10-27T12:56:30Z","0",0,Ugy36jLvF1tXQvQ1Lu94AaABAg,"",Ugy36jLvF1tXQvQ1Lu94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,이래야 jm이지ㅋㅋ,@user-mz8mu2vk6v,"2020-10-27T12:56:34Z","1",0,UgwBvX5DOramIanm0SJ4AaABAg,"",UgwBvX5DOramIanm0SJ4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,아후 급식충새끼들 들쥐새끼들처럼 ~초 전은 못 참지 다 똑같이 이 지랄들하고 있네,@kommando7483,"2020-10-27T12:56:40Z","0",0,UgwPGWpNlFR2QqWSjk94AaABAg,"",UgwPGWpNlFR2QqWSjk94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,오아 저도 지금 12 프로 사전예약 해놨는데 같은 기종이시네요 반갑습니다 ㅎㅎ 색상만 다르네요 ㅎ 전 퍼시픽블루예약했는데 ㅋ,@rodjuns,"2020-10-27T12:56:44Z","0",0,UgxP7T5hnEyLxPUjvdp4AaABAg,"",UgxP7T5hnEyLxPUjvdp4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"JM을 이 영상으로 처음 본 사람: 왜 이리 정신없어;;
우리: 오늘은 좀 얌전하네 ㅋ",@csg990127,"2020-10-27T12:56:47Z","381",8,Ugx4Lcpb3q1mZKSbmE94AaABAg,"",Ugx4Lcpb3q1mZKSbmE94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"12pro 빛번짐 약간 있는거 같은뎅.!",@user-fc9jo9dk9l,"2020-10-27T12:56:52Z","0",0,Ugw2esPWRyyx5J3E61Z4AaABAg,"",Ugw2esPWRyyx5J3E61Z4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,언박싱때 헷갈려서 기기 뒤로 던졋으면 ㄹㅈㄷ,@oneill2969,"2020-10-27T12:56:53Z","0",0,UgzCUdNCLE4eo71Kk214AaABAg,"",UgzCUdNCLE4eo71Kk214AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,또 미친 발작이넹 ㅋㅋㅋㅋ 개욱곀ㅋㅋㅋㅋㅋㅋㅋ,@user-nk4vg6ib5e,"2020-10-27T12:56:57Z","0",0,UgwSlhnu8QuM7V2uKFZ4AaABAg,"",UgwSlhnu8QuM7V2uKFZ4AaABAg,"12"
