series,channel,title,video_id,published_at
12,ITSub잇섭,충격고백..갤럭시에서 갈아탈까? 애플 iPhone 12 Pro 언빡싱 & 11 Pro 와 달라진점 6가지 살펴보기,5zgi0e88Jhs,2020-10-27T14:15:01Z
12,ITSub잇섭,애플이 드디어.. 한국에서 가격 다운? 애플의 아이폰 12&12 Pro 발표 총정리! 미니의 무게는 혁신적,PKgI8wjfQl0,2020-10-14T05:15:00Z
iOS14,ITSub잇섭,이것은 안드로이드인가 iOS인가? 편의기능 대규모 업데이트 'iOS 14 달라진 20가지!'를 모두 알려드립니다.,YK1b2Ut_1J0,2020-06-26T12:30:05Z
iOS14,ITSub잇섭,미친 업데이트...아이폰에 곧 '애플페이 & 통화녹음' 가능해질까? 현재 이슈중인 2가지 루머 총정리!,aPaNfD2JpXE,2020-05-25T13:15:00Z
SE2,ITSub잇섭,삼성의 진짜 아이폰 SE 대항마?! 50만원대 '갤럭시 A51 5G' 언빡싱&살펴보기!,r9I_K1vfb54,2020-05-16T13:00:22Z
SE2,ITSub잇섭,업자 믿고 사면 큰일난다고? '아이폰 SE 2세대' 전용 강화유리를 사야하는 이유!? (Feat.성능저하 이슈 체크),V2Byu9S25PU,2020-05-09T12:30:00Z
SE2,ITSub잇섭,이런게 진짜 갓성비죠. 보급형 라인 깡패로 등극한 애플 '아이폰 SE 2세대' 화이트&레드 언빡싱!,3HWWkZ-01qg,2020-05-06T13:15:01Z
SE2,ITSub잇섭,현존 스마트폰 최고의 게임 성능인데.. $399? 애플 아이폰 SE 2세대 자세한 스펙 분석과 총정리!,vK1TE9ymUHA,2020-04-16T03:15:04Z
SE2,ITSub잇섭,4월 15일까지 존버 시작? 구체적으로 애플 아이폰 9/SE 2세대가 나올 것 같은 이유와 예상 스펙을 총정리 해봤습니다.,mnGAa0CeBTQ,2020-04-11T11:30:04Z
SE2,ITSub잇섭,참을만큼 참았다.. 혜자 구성에 50만원대 가성비. 애플 아이폰 SE 2 or 9 유출 루머 총정리!,504wCrLvi-U,2020-01-11T11:30:01Z
11,ITSub잇섭,둘중에 대체 뭐사요? 아이폰 11 vs 아이폰 11 Pro 차이점 8가지 비교하기! 나라면 Pro는 흠..,6c4bt9528iI,2019-10-27T11:30:01Z
11,ITSub잇섭,아이폰이 뻔뻔하게 4GB 램으로 출시하는 이유? 아이폰 11 Pro VS 갤럭시노트10+ 앱 실행/리프레쉬 속도 테스트!,4M_dHndWSUM,2019-10-08T12:17:40Z
11,ITSub잇섭,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요...,1Hg2zSgRPP4,2019-09-21T13:06:08Z
11,ITSub잇섭,더이상 아이폰 11 해외직구를 추천하지않는 6가지 이유? 아이폰 11 직구 고민중이라면 꼭 보세요,ZUbD95oX-Rg,2019-09-14T12:15:01Z
11,ITSub잇섭,지금 아이폰 사지마세요. 애플케어+ 한국출시? 새로운 아이폰 11/11 Pro/11 Pro Max/애플워치5/7세대 아이패드 총정리!,VhBWr6XFtmw,2019-09-11T03:30:52Z
iOS13,ITSub잇섭,곧 업데이트되는 아이폰 최신 꿀팁 대방출! 새로운 iOS 13에서 개선된 35가지 살펴보기!,fsQvTBqHGas,2019-06-07T13:07:03Z
